application, resolution,Source,Destination, averageReceivedPackageSize, averageSentPackageSize, lowestReceivingSpeed, highestReceivingSpeed,  lowestSendingSpeed, highestSendingSpeed
FaceAndEyeDetection,480p,Master,User,1071965.695973, 459.694222, 19627367.838391, 36173310.952538, 5416.489888, 28440.626216
FaceAndEyeDetection,480p,Master,FaceDetection,226.500000, 1071820.680430, 0.000000, 68.606238, 24545700.487171, 37283413.585301
FaceAndEyeDetection,480p,Master,EyeDetection,423.877843, 73.000000, 6838.564012, 26710.412704, 0.000000, 0.000000
FaceAndEyeDetection,480p,FaceDetection,Master,1071766.896479, 259.500000, 23485407.580534, 35929698.328923, 0.000000, 103.053408
FaceAndEyeDetection,480p,EyeDetection,Master,40.000000, 457.066245, 0.000000, 0.000000, 7675.883597, 26892.686090
FaceAndEyeDetection,480p,FaceDetection,EyeDetection,0.000000, 10848.761282, 0.000000, 0.000000, 7833.971143, 1921329.995123
FaceAndEyeDetection,480p,RemoteLogger,User,744.000000, 0.000000, 0.000000, 806.174663, 0.000000, 0.000000
FaceAndEyeDetection,480p,RemoteLogger,Master,729.117647, 0.000000, 0.000000, 862.500501, 0.000000, 0.000000
FaceAndEyeDetection,480p,RemoteLogger,FaceDetection,800.529412, 0.000000, 0.000000, 890.660284, 0.000000, 0.000000
FaceAndEyeDetection,480p,RemoteLogger,EyeDetection,813.687500, 0.000000, 0.000000, 881.561575, 0.000000, 0.000000
,,,,,,,,,
FaceAndEyeDetection,240p,Master,User,267441.200643, 561.942541, 5506943.335925, 8535942.060768, 6519.811680, 32728.352297
FaceAndEyeDetection,240p,Master,FaceDetection,226.500000, 267440.133547, 0.000000, 69.013673, 7058272.837308, 8548746.734789
FaceAndEyeDetection,240p,Master,EyeDetection,0.000000, 0.000000, 0.000000, 0.000000, 0.000000
FaceAndEyeDetection,240p,Master,EyeDetection,314.533599, 73.000000, 9046.906297, 9452.823554, 0.000000, 0.000000
FaceAndEyeDetection,240p,FaceDetection,Master,267407.133547, 259.500000, 6911224.487531, 8547763.844568, 0.000000, 102.850354
FaceAndEyeDetection,240p,EyeDetection,Master,40.000000, 551.743234, 0.000000, 0.000000, 8812.094148, 32175.136491
FaceAndEyeDetection,240p,FaceDetection,EyeDetection,0.000000, 6061.974715, 0.000000, 0.000000, 9232.624874, 656704.080040
FaceAndEyeDetection,240p,RemoteLogger,User,784.222222, 0.000000, 0.000000, 885.855905, 0.000000, 0.000000
FaceAndEyeDetection,240p,RemoteLogger,Master,602.777778, 0.000000, 0.000000, 914.068563, 0.000000, 0.000000
FaceAndEyeDetection,240p,RemoteLogger,FaceDetection,826.900000, 0.000000, 0.000000, 974.904764, 0.000000, 0.000000
FaceAndEyeDetection,240p,RemoteLogger,EyeDetection,856.111111, 0.000000, 0.000000, 950.825899, 0.000000, 0.000000
,,,,,,,,,
FaceAndEyeDetection,720p,Master,User,2416303.645759, 412.707265, 7442790.005350, 30576080.296764, 417.984653, 10115.624419
FaceAndEyeDetection,720p,Master,FaceDetection,226.500000, 2414756.347084, 0.000000, 68.932929, 9909503.316419, 30347578.993003
FaceAndEyeDetection,720p,Master,EyeDetection,380.723132, 73.000000, 968.073687, 10897.637461, 0.000000, 0.000000
FaceAndEyeDetection,720p,FaceDetection,Master,2414614.395299, 259.500000, 10039553.515335, 30650264.461900, 0.000000, 102.741601
FaceAndEyeDetection,720p,EyeDetection,Master,40.000000, 413.821810, 0.000000, 0.000000, 1114.205161, 11258.554833
FaceAndEyeDetection,720p,FaceDetection,EyeDetection,0.000000, 17242.604137, 0.000000, 0.000000, 2498.552466, 1645948.551679
FaceAndEyeDetection,720p,RemoteLogger,User,741.000000, 0.000000, 0.000000, 827.561192, 0.000000, 0.000000
FaceAndEyeDetection,720p,RemoteLogger,Master,773.714286, 0.000000, 0.000000, 838.708796, 0.000000, 0.000000
FaceAndEyeDetection,720p,RemoteLogger,FaceDetection,803.285714, 0.000000, 0.000000, 928.812163, 0.000000, 0.000000
FaceAndEyeDetection,720p,RemoteLogger,EyeDetection,812.923077, 0.000000, 0.000000, 870.112317, 0.000000, 0.000000
,,,,,,,,,
FaceAndEyeDetection,1080p,Master,User,5395105.292079, 539.845771, 5034776.134921, 11224270.340158, 327.629269, 2616.930139
FaceAndEyeDetection,1080p,Master,FaceDetection,226.500000, 5368592.147783, 0.000000, 68.940926, 192.886089, 11179548.700808
FaceAndEyeDetection,1080p,Master,EyeDetection,504.178218, 73.000000, 302.458476, 2452.248938, 0.000000, 0.000000
FaceAndEyeDetection,1080p,FaceDetection,Master,5367851.638614, 259.500000, 5021924.961582, 11185247.765792, 0.000000, 103.592627
FaceAndEyeDetection,1080p,EyeDetection,Master,40.000000, 534.089552, 0.000000, 0.000000, 336.751108, 2517.392161
FaceAndEyeDetection,1080p,FaceDetection,EyeDetection,0.000000, 76991.435000, 0.000000, 0.000000, 308.607695, 828767.241358
FaceAndEyeDetection,1080p,RemoteLogger,User,764.933333, 0.000000, 0.000000, 857.731902, 0.000000, 0.000000
FaceAndEyeDetection,1080p,RemoteLogger,Master,739.312500, 0.000000, 0.000000, 850.126829, 0.000000, 0.000000
FaceAndEyeDetection,1080p,RemoteLogger,FaceDetection,815.375000, 0.000000, 0.000000, 899.777001, 0.000000, 0.000000
FaceAndEyeDetection,1080p,RemoteLogger,EyeDetection,810.062500, 0.000000, 0.000000, 894.029186, 0.000000, 0.000000
,,,,,,,,,
FaceDetection,1080p,Master,User,5461064.677419, 15435.086022, 5211880.134065, 11686953.810797, 283.900584, 505809.066223
FaceDetection,1080p,Master,FaceDetection,15409.279570, 5461127.942652, 253.500033, 760853.604232, 5160788.180251, 11698883.957602
FaceDetection,1080p,FaceDetection,Master,5460841.035971, 15442.279570, 5202331.387341, 11706633.762334, 287.021784, 760612.122786
FaceDetection,1080p,RemoteLogger,User,753.681818, 0.000000, 0.000000, 862.826403, 0.000000, 0.000000
FaceDetection,1080p,RemoteLogger,Master,762.782609, 0.000000, 0.000000, 834.136689, 0.000000, 0.000000
FaceDetection,1080p,RemoteLogger,FaceDetection,845.000000, 0.000000, 0.000000, 923.064898, 0.000000, 0.000000
,,,,,,,,,
FaceDetection,720p,Master,User,2477081.403315, 36997.881215, 7156419.090090, 30519322.045034, 661.917464, 1935796.811460
FaceDetection,720p,Master,FaceDetection,36903.713235, 2477232.795956, 831.521528, 1927894.399499, 9499041.968530, 30257590.070495
FaceDetection,720p,FaceDetection,Master,2477113.017495, 36970.419503, 9715668.925651, 32510944.379625, 983.377703, 1925304.457273
FaceDetection,720p,RemoteLogger,User,723.272727, 0.000000, 0.000000, 817.464174, 0.000000, 0.000000
FaceDetection,720p,RemoteLogger,Master,757.000000, 0.000000, 0.000000, 836.060945, 0.000000, 0.000000
FaceDetection,720p,RemoteLogger,FaceDetection,816.454545, 0.000000, 0.000000, 874.846346, 0.000000, 0.000000
,,,,,,,,,
FaceDetection,480p,Master,User,1087876.102958, 7748.072864, 20346372.933848, 35601212.612187, 5019.150779, 2775915.560456
FaceDetection,480p,Master,FaceDetection,7710.775021, 1087868.294511, 6109.201325, 2793371.365590, 26753368.707745, 35711807.086998
FaceDetection,480p,FaceDetection,Master,1087923.686017, 7752.085682, 27305936.099827, 35632600.803163, 6974.799479, 2791814.482027
FaceDetection,480p,RemoteLogger,User,747.416667, 0.000000, 0.000000, 875.814368, 0.000000, 0.000000
FaceDetection,480p,RemoteLogger,Master,709.923077, 0.000000, 0.000000, 817.380481, 0.000000, 0.000000
FaceDetection,480p,RemoteLogger,FaceDetection,820.500000, 0.000000, 0.000000, 956.893971, 0.000000, 0.000000
,,,,,,,,,
FaceDetection,240p,Master,User,272189.725471, 1928.392613, 5606289.169807, 8458783.010256, 5937.637039, 546500.737708
FaceDetection,240p,Master,FaceDetection,1911.118848, 272295.921979, 6684.712074, 619829.496475, 7207306.160378, 8457758.597666
FaceDetection,240p,FaceDetection,Master,272262.921979, 1944.118848, 7096364.673887, 8477589.115097, 7629.314295, 600355.525442
FaceDetection,240p,RemoteLogger,User,716.142857, 0.000000, 0.000000, 846.033607, 0.000000, 0.000000
FaceDetection,240p,RemoteLogger,Master,733.000000, 0.000000, 0.000000, 863.968421, 0.000000, 0.000000
FaceDetection,240p,RemoteLogger,FaceDetection,782.071429, 0.000000, 0.000000, 867.240832, 0.000000, 0.000000
,,,,,,,,,
ColorTracking,240p,Master,User,274248.480360, 719819.928947, 4769239.722555, 8526216.973169, 12593489.279922, 22727169.929758
ColorTracking,240p,Master,ColorTracking,719785.668916, 274313.196201, 16294531.729690, 22678980.291477, 6180770.424509, 8678919.618443
ColorTracking,240p,ColorTracking,Master,274280.616000, 719820.160710, 6221650.078369, 8550353.382532, 16307173.148115, 23027685.665764
ColorTracking,240p,RemoteLogger,User,723.384615, 0.000000, 0.000000, 791.301765, 0.000000, 0.000000
ColorTracking,240p,RemoteLogger,Master,724.333333, 0.000000, 0.000000, 812.566778, 0.000000, 0.000000
ColorTracking,240p,RemoteLogger,ColorTracking,811.461538, 0.000000, 0.000000, 893.941159, 0.000000, 0.000000
,,,,,,,,,
ColorTracking,480p,Master,User,1057539.109615, 2789980.230326, 1118653.632081, 8765149.739600, 2961247.124882, 22382044.885693
ColorTracking,480p,Master,ColorTracking,2789617.833333, 1057429.445298, 2962036.405275, 22320494.539515, 1118940.887860, 8763814.119733
ColorTracking,480p,ColorTracking,Master,1057396.445298, 2789650.833333, 1143426.828871, 8767629.042295, 2993493.424815, 22330335.227060
ColorTracking,480p,RemoteLogger,User,715.000000, 0.000000, 0.000000, 807.009301, 0.000000, 0.000000
ColorTracking,480p,RemoteLogger,Master,688.111111, 0.000000, 0.000000, 806.409176, 0.000000, 0.000000
ColorTracking,480p,RemoteLogger,ColorTracking,798.714286, 0.000000, 0.000000, 900.268719, 0.000000, 0.000000
,,,,,,,,,
ColorTracking,720p,Master,User,2434673.405172, 6490951.706897, 2516381.807513, 2547295.830208, 0.000000, 6720141.770974
ColorTracking,720p,Master,ColorTracking,6492810.282051, 2435056.512821, 0.000000, 6722623.827473, 2467199.604295, 2546791.666849
ColorTracking,720p,ColorTracking,Master,2434704.551724, 6492843.282051, 2516380.611492, 2584612.537054, 6660948.387060, 6723113.013818
ColorTracking,720p,RemoteLogger,User,731.538462, 0.000000, 0.000000, 811.170709, 0.000000, 0.000000
ColorTracking,720p,RemoteLogger,Master,726.600000, 0.000000, 0.000000, 837.117637, 0.000000, 0.000000
ColorTracking,720p,RemoteLogger,ColorTracking,783.071429, 0.000000, 0.000000, 886.002105, 0.000000, 0.000000
,,,,,,,,,
VideoOCR,480p,Master,User,394619.765374, 78.000000, 21548062.980279, 34726080.799977, 0.000000, 84.943375
VideoOCR,480p,Master,BlurAndPHash,226.000000, 394646.927719, 0.000000, 69.039011, 21709262.600294, 40185733.697974
VideoOCR,480p,Master,OCR,374.000000, 73.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,480p,BlurAndPHash,Master,394613.955913, 259.000000, 21567204.280213, 40658090.977100, 0.000000, 103.717144
VideoOCR,480p,BlurAndPHash,OCR,0.000000, 394826.831486, 0.000000, 0.000000, 392955.620185, 7100098.892906
VideoOCR,480p,OCR,Master,40.000000, 407.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,480p,RemoteLogger,User,766.100000, 0.000000, 0.000000, 863.108145, 0.000000, 0.000000
VideoOCR,480p,RemoteLogger,Master,767.500000, 0.000000, 0.000000, 854.949172, 0.000000, 0.000000
VideoOCR,480p,RemoteLogger,BlurAndPHash,829.050000, 0.000000, 0.000000, 924.382027, 0.000000, 0.000000
VideoOCR,480p,RemoteLogger,OCR,810.500000, 0.000000, 0.000000, 905.065923, 0.000000, 0.000000
,,,,,,,,,
VideoOCR,720p,Master,User,887227.514255, 78.000000, 0.000000, 75959885.255046, 0.000000, 84.967446
VideoOCR,720p,Master,BlurAndPHash,226.000000, 887271.391043, 0.000000, 68.808551, 19449853.553920, 74553269.035872
VideoOCR,720p,Master,OCR,374.000000, 73.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,720p,BlurAndPHash,Master,887259.678455, 259.000000, 16882617.312766, 84865818.253286, 0.000000, 102.875952
VideoOCR,720p,BlurAndPHash,OCR,0.000000, 887563.136066, 0.000000, 0.000000, 883904.135664, 7104839.271321
VideoOCR,720p,OCR,Master,40.000000, 407.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,720p,RemoteLogger,User,780.857143, 0.000000, 0.000000, 923.081607, 0.000000, 0.000000
VideoOCR,720p,RemoteLogger,Master,804.675676, 0.000000, 0.000000, 901.615204, 0.000000, 0.000000
VideoOCR,720p,RemoteLogger,BlurAndPHash,848.540541, 0.000000, 0.000000, 982.306197, 0.000000, 0.000000
VideoOCR,720p,RemoteLogger,OCR,824.750000, 0.000000, 0.000000, 961.016599, 0.000000, 0.000000
,,,,,,,,,
VideoOCR,1080p,Master,User,1993888.063595, 78.000000, 15901612.056636, 41852740.781307, 0.000000, 84.971030
VideoOCR,1080p,Master,BlurAndPHash,226.000000, 1993755.424087, 0.000000, 69.280853, 11854985.725114, 45730401.769000
VideoOCR,1080p,Master,OCR,374.000000, 73.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,1080p,BlurAndPHash,Master,1993722.438465, 259.000000, 13872132.596677, 41915859.237965, 0.000000, 106.101510
VideoOCR,1080p,BlurAndPHash,OCR,0.000000, 1994795.799710, 0.000000, 0.000000, 1986126.795110, 5997517.695195
VideoOCR,1080p,OCR,Master,40.000000, 407.000000, 0.000000, 0.000000, 0.000000, 0.000000
VideoOCR,1080p,RemoteLogger,User,782.211268, 0.000000, 0.000000, 893.720457, 0.000000, 0.000000
VideoOCR,1080p,RemoteLogger,Master,799.305556, 0.000000, 0.000000, 942.023906, 0.000000, 0.000000
VideoOCR,1080p,RemoteLogger,BlurAndPHash,848.263889, 0.000000, 0.000000, 975.679449, 0.000000, 0.000000
VideoOCR,1080p,RemoteLogger,OCR,834.236111, 0.000000, 0.000000, 942.033554, 0.000000, 0.000000
,,,,,,,,,